ROUTE,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
MEM-DEN,1277,18.0,1256.0,210.0,17653.0,0.014095536413469069,0.16719745222929935,14.054936305732484
MEM-DFW,2315,40.0,2268.0,598.0,50334.0,0.017278617710583154,0.263668430335097,22.193121693121693
MEM-DTW,657,5.0,652.0,62.0,6339.0,0.0076103500761035,0.0950920245398773,9.72239263803681
MEM-EWR,688,32.0,655.0,110.0,10787.0,0.046511627906976744,0.16793893129770993,16.468702290076337
MEM-FLL,139,4.0,133.0,52.0,7390.0,0.02877697841726619,0.39097744360902253,55.56390977443609
MEM-HOU,456,5.0,451.0,70.0,4197.0,0.010964912280701754,0.15521064301552107,9.3059866962306
MEM-IAH,545,13.0,532.0,145.0,10931.0,0.023853211009174313,0.2725563909774436,20.546992481203006
MEM-LAS,583,9.0,574.0,192.0,17010.0,0.015437392795883362,0.3344947735191638,29.634146341463413
MEM-LAX,582,4.0,578.0,154.0,13765.0,0.006872852233676976,0.2664359861591695,23.814878892733564
MEM-LGA,1471,38.0,1423.0,193.0,15774.0,0.02583276682528892,0.13562895291637386,11.085031623330991
MEM-MCO,796,21.0,773.0,132.0,10016.0,0.026381909547738693,0.17076326002587322,12.957309184993532
MEM-MDW,679,13.0,662.0,132.0,9276.0,0.01914580265095729,0.19939577039274925,14.012084592145015
MEM-MIA,367,7.0,360.0,39.0,5073.0,0.01907356948228883,0.10833333333333334,14.091666666666667
MEM-MSP,961,16.0,943.0,96.0,9614.0,0.01664932362122789,0.10180275715800637,10.195121951219512
MEM-ORD,1679,15.0,1663.0,283.0,24509.0,0.008933889219773675,0.17017438364401682,14.737823211064342
MEM-PHL,551,3.0,546.0,69.0,8365.0,0.0054446460980036296,0.12637362637362637,15.320512820512821
MEM-PHX,379,3.0,376.0,59.0,9045.0,0.0079155672823219,0.15691489361702127,24.055851063829788
MEM-PIE,90,0.0,90.0,21.0,1897.0,0.0,0.23333333333333334,21.07777777777778
MEM-SFB,113,0.0,112.0,34.0,2728.0,0.0,0.30357142857142855,24.357142857142858
MEM-SLC,366,1.0,363.0,50.0,5879.0,0.00273224043715847,0.13774104683195593,16.195592286501377
MEM-TPA,39,1.0,38.0,12.0,847.0,0.02564102564102564,0.3157894736842105,22.289473684210527
MEM-VPS,20,0.0,20.0,4.0,123.0,0.0,0.2,6.15
MFE-BNA,52,0.0,52.0,5.0,1799.0,0.0,0.09615384615384616,34.59615384615385
MFE-DFW,1786,31.0,1751.0,304.0,31229.0,0.017357222844344905,0.1736150770988007,17.83495145631068
MFE-IAH,713,8.0,702.0,92.0,7979.0,0.011220196353436185,0.13105413105413105,11.366096866096866
MFE-LAS,337,1.0,336.0,86.0,7315.0,0.002967359050445104,0.25595238095238093,21.770833333333332
MFE-LAX,24,0.0,24.0,6.0,325.0,0.0,0.25,13.541666666666666
MFE-SFB,102,1.0,101.0,35.0,2940.0,0.00980392156862745,0.3465346534653465,29.10891089108911
MFR-AZA,20,0.0,20.0,2.0,67.0,0.0,0.1,3.35
MFR-DEN,729,5.0,719.0,110.0,12656.0,0.006858710562414266,0.15299026425591097,17.60222531293463
MFR-LAS,165,1.0,164.0,59.0,5844.0,0.006060606060606061,0.3597560975609756,35.63414634146341
MFR-LAX,136,1.0,134.0,38.0,2950.0,0.007352941176470588,0.2835820895522388,22.01492537313433
MFR-PDX,4,0.0,4.0,0.0,13.0,0.0,0.0,3.25
MFR-PHX,725,1.0,722.0,78.0,8774.0,0.001379310344827586,0.10803324099722991,12.152354570637119
MFR-SAN,20,0.0,20.0,14.0,838.0,0.0,0.7,41.9
MFR-SEA,1157,3.0,1150.0,104.0,11351.0,0.0025929127052722557,0.09043478260869565,9.870434782608696
MFR-SFO,967,7.0,958.0,153.0,15543.0,0.007238883143743537,0.15970772442588727,16.224425887265134
MFR-SLC,735,3.0,730.0,59.0,4795.0,0.004081632653061225,0.08082191780821918,6.568493150684931
MFR-SNA,50,0.0,50.0,9.0,449.0,0.0,0.18,8.98
MGM-ATL,1362,10.0,1352.0,232.0,22362.0,0.007342143906020558,0.17159763313609466,16.53994082840237
MGM-DCA,296,14.0,281.0,61.0,8033.0,0.0472972972972973,0.21708185053380782,28.587188612099645
MGM-DFW,672,9.0,662.0,101.0,8505.0,0.013392857142857142,0.15256797583081572,12.847432024169184
MHK-DFW,599,9.0,590.0,68.0,7131.0,0.015025041736227046,0.1152542372881356,12.086440677966102
MHK-ORD,241,4.0,237.0,24.0,2088.0,0.016597510373443983,0.10126582278481013,8.810126582278482
MHT-BWI,1660,26.0,1634.0,200.0,13008.0,0.01566265060240964,0.12239902080783353,7.960832313341493
MHT-CLT,960,24.0,932.0,151.0,15645.0,0.025,0.16201716738197425,16.786480686695278
MHT-DCA,1026,30.0,996.0,192.0,18162.0,0.029239766081871343,0.1927710843373494,18.234939759036145
MHT-EWR,617,20.0,595.0,76.0,5743.0,0.03241491085899514,0.12773109243697478,9.652100840336134
MHT-FLL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MHT-MCO,901,22.0,875.0,198.0,12748.0,0.0244173140954495,0.22628571428571428,14.569142857142857
MHT-MDW,563,11.0,549.0,93.0,5925.0,0.019538188277087035,0.16939890710382513,10.792349726775956
MHT-MYR,52,2.0,50.0,3.0,303.0,0.038461538461538464,0.06,6.06
MHT-ORD,185,2.0,182.0,35.0,3059.0,0.010810810810810811,0.19230769230769232,16.807692307692307
MHT-PHL,121,0.0,121.0,12.0,838.0,0.0,0.09917355371900827,6.925619834710743
MHT-RSW,77,1.0,75.0,18.0,1303.0,0.012987012987012988,0.24,17.373333333333335
MHT-TPA,112,1.0,110.0,42.0,3002.0,0.008928571428571428,0.38181818181818183,27.29090909090909
MIA-ACY,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MIA-AGS,12,0.0,11.0,3.0,197.0,0.0,0.2727272727272727,17.90909090909091
MIA-ALB,21,0.0,21.0,7.0,420.0,0.0,0.3333333333333333,20.0
MIA-ATL,6794,57.0,6718.0,1946.0,167659.0,0.008389755666764793,0.2896695445072938,24.956683536766896
MIA-AUS,1922,15.0,1901.0,533.0,37251.0,0.007804370447450572,0.280378748027354,19.595476065228826
MIA-AVL,145,2.0,143.0,55.0,3852.0,0.013793103448275862,0.38461538461538464,26.937062937062937
MIA-BDL,530,6.0,522.0,142.0,13576.0,0.011320754716981131,0.2720306513409962,26.007662835249043
MIA-BHM,635,4.0,627.0,172.0,10094.0,0.006299212598425197,0.2743221690590112,16.098883572567782
MIA-BNA,2257,13.0,2241.0,606.0,48394.0,0.0057598582188746125,0.27041499330655955,21.594823739402052
MIA-BOS,3756,55.0,3698.0,1052.0,89954.0,0.014643237486687966,0.2844780962682531,24.3250405624662
MIA-BTV,13,1.0,12.0,2.0,77.0,0.07692307692307693,0.16666666666666666,6.416666666666667
MIA-BUF,18,0.0,18.0,6.0,864.0,0.0,0.3333333333333333,48.0
MIA-BWI,2327,23.0,2297.0,538.0,40069.0,0.009883970777825527,0.23421854592947322,17.44405746626034
MIA-CAE,43,0.0,43.0,6.0,593.0,0.0,0.13953488372093023,13.790697674418604
MIA-CHA,14,0.0,14.0,4.0,249.0,0.0,0.2857142857142857,17.785714285714285
MIA-CHS,757,7.0,748.0,175.0,12238.0,0.009247027741083224,0.2339572192513369,16.36096256684492
MIA-CID,8,0.0,8.0,1.0,41.0,0.0,0.125,5.125
MIA-CLE,789,3.0,784.0,239.0,17441.0,0.0038022813688212928,0.3048469387755102,22.246173469387756
MIA-CLL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MIA-CLT,3296,29.0,3263.0,849.0,73812.0,0.008798543689320388,0.26019000919399327,22.62090101133926
MIA-CMH,677,4.0,673.0,165.0,9804.0,0.005908419497784343,0.2451708766716196,14.567607726597325
MIA-CVG,1046,10.0,1035.0,286.0,22295.0,0.009560229445506692,0.2763285024154589,21.541062801932366
MIA-DAL,523,8.0,515.0,128.0,9409.0,0.015296367112810707,0.24854368932038834,18.269902912621358
MIA-DCA,3180,30.0,3129.0,750.0,58990.0,0.009433962264150943,0.23969319271332695,18.852668584212207
MIA-DEN,2310,23.0,2279.0,591.0,51653.0,0.009956709956709957,0.2593242650285213,22.664765247915753
MIA-DFW,4036,55.0,3965.0,1155.0,100923.0,0.013627353815659068,0.29129886506935687,25.453467843631778
MIA-DSM,87,0.0,87.0,15.0,1804.0,0.0,0.1724137931034483,20.735632183908045
MIA-DTW,1548,26.0,1518.0,433.0,32477.0,0.016795865633074936,0.2852437417654809,21.39459815546772
MIA-EGE,103,0.0,102.0,26.0,2709.0,0.0,0.2549019607843137,26.558823529411764
MIA-EWR,4672,95.0,4555.0,1216.0,103849.0,0.020333904109589043,0.26695938529088914,22.798902305159167
MIA-EYW,1042,8.0,1034.0,151.0,8359.0,0.007677543186180422,0.14603481624758222,8.084139264990329
MIA-FLL,3,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0
MIA-GNV,334,5.0,326.0,75.0,3906.0,0.014970059880239521,0.23006134969325154,11.98159509202454
MIA-GRR,71,0.0,71.0,15.0,890.0,0.0,0.2112676056338028,12.535211267605634
MIA-GSO,365,0.0,365.0,96.0,6854.0,0.0,0.26301369863013696,18.778082191780822
MIA-GSP,310,1.0,309.0,76.0,4193.0,0.0032258064516129032,0.2459546925566343,13.56957928802589
MIA-HOU,991,6.0,981.0,233.0,16133.0,0.006054490413723511,0.23751274209989806,16.44546381243629
MIA-HPN,172,0.0,168.0,79.0,5606.0,0.0,0.47023809523809523,33.36904761904762
MIA-HSV,19,0.0,19.0,9.0,1399.0,0.0,0.47368421052631576,73.63157894736842
MIA-IAD,386,6.0,379.0,66.0,5177.0,0.015544041450777202,0.1741424802110818,13.659630606860159
MIA-IAH,2910,34.0,2863.0,762.0,63228.0,0.01168384879725086,0.2661543835137967,22.084526720223543
MIA-ICT,8,0.0,8.0,4.0,947.0,0.0,0.5,118.375
MIA-ILM,8,0.0,8.0,2.0,99.0,0.0,0.25,12.375
MIA-IND,713,4.0,707.0,214.0,16458.0,0.005610098176718092,0.3026874115983027,23.27864214992928
MIA-JAC,46,0.0,44.0,14.0,905.0,0.0,0.3181818181818182,20.568181818181817
MIA-JAN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MIA-JAX,1714,16.0,1698.0,416.0,30632.0,0.009334889148191364,0.24499411071849234,18.04004711425206
MIA-JFK,5927,99.0,5817.0,1695.0,155805.0,0.01670322254091446,0.2913873130479629,26.78442496132027
MIA-LAS,1648,10.0,1635.0,544.0,45501.0,0.006067961165048544,0.3327217125382263,27.829357798165137
MIA-LAX,3656,17.0,3630.0,1061.0,87601.0,0.004649890590809628,0.29228650137741047,24.13250688705234
MIA-LEX,8,0.0,8.0,2.0,75.0,0.0,0.25,9.375
MIA-LGA,5469,88.0,5355.0,1397.0,107821.0,0.01609069299689157,0.2608776844070962,20.134640522875817
MIA-LIT,67,0.0,67.0,14.0,958.0,0.0,0.208955223880597,14.298507462686567
MIA-MCI,365,3.0,361.0,139.0,11514.0,0.00821917808219178,0.3850415512465374,31.894736842105264
MIA-MCO,3801,55.0,3739.0,863.0,80016.0,0.014469876348329387,0.23081037710617813,21.400374431666222
MIA-MDW,1116,16.0,1098.0,262.0,19446.0,0.014336917562724014,0.23861566484517305,17.7103825136612
MIA-MEM,367,6.0,361.0,123.0,13459.0,0.01634877384196185,0.3407202216066482,37.282548476454295
MIA-MKE,18,0.0,18.0,8.0,414.0,0.0,0.4444444444444444,23.0
MIA-MSN,21,0.0,21.0,8.0,373.0,0.0,0.38095238095238093,17.761904761904763
MIA-MSP,1036,8.0,1026.0,226.0,23778.0,0.007722007722007722,0.2202729044834308,23.17543859649123
MIA-MSY,1671,8.0,1658.0,443.0,32938.0,0.0047875523638539795,0.267189384800965,19.866103739445116
MIA-OKC,154,1.0,152.0,50.0,3100.0,0.006493506493506494,0.32894736842105265,20.394736842105264
MIA-OMA,69,0.0,69.0,37.0,4862.0,0.0,0.5362318840579711,70.46376811594203
MIA-ORD,4128,38.0,4079.0,965.0,81241.0,0.009205426356589148,0.23657759254719293,19.916891394949744
MIA-ORF,423,7.0,413.0,102.0,15093.0,0.016548463356973995,0.2469733656174334,36.544794188861985
MIA-PDX,101,1.0,100.0,33.0,2703.0,0.009900990099009901,0.33,27.03
MIA-PHL,3136,39.0,3093.0,798.0,74627.0,0.012436224489795918,0.2580019398642095,24.127707727125767
MIA-PHX,1437,9.0,1426.0,380.0,34817.0,0.006263048016701462,0.2664796633941094,24.41584852734923
MIA-PIT,510,1.0,508.0,114.0,10083.0,0.00196078431372549,0.22440944881889763,19.848425196850393
MIA-PNS,977,9.0,965.0,185.0,10996.0,0.009211873080859774,0.19170984455958548,11.394818652849741
MIA-PVD,13,0.0,13.0,3.0,847.0,0.0,0.23076923076923078,65.15384615384616
MIA-PWM,13,0.0,13.0,2.0,126.0,0.0,0.15384615384615385,9.692307692307692
MIA-RDU,2155,13.0,2138.0,611.0,47605.0,0.0060324825986078886,0.28578110383536015,22.266136576239475
MIA-RIC,383,2.0,381.0,140.0,8967.0,0.005221932114882507,0.3674540682414698,23.53543307086614
MIA-ROC,21,0.0,20.0,6.0,328.0,0.0,0.3,16.4
MIA-SAN,378,3.0,373.0,136.0,13886.0,0.007936507936507936,0.3646112600536193,37.22788203753351
MIA-SAT,498,6.0,491.0,152.0,11868.0,0.012048192771084338,0.3095723014256619,24.171079429735233
MIA-SAV,617,4.0,612.0,145.0,11709.0,0.006482982171799027,0.2369281045751634,19.13235294117647
MIA-SDF,507,2.0,505.0,128.0,14775.0,0.0039447731755424065,0.25346534653465347,29.257425742574256
MIA-SEA,751,4.0,743.0,250.0,20973.0,0.005326231691078562,0.3364737550471063,28.227456258411845
MIA-SFO,1321,7.0,1309.0,390.0,34527.0,0.005299015897047691,0.2979373567608862,26.376623376623378
MIA-SJU,2743,12.0,2730.0,584.0,46931.0,0.004374772147283996,0.2139194139194139,17.190842490842492
MIA-SLC,483,3.0,480.0,98.0,12082.0,0.006211180124223602,0.20416666666666666,25.170833333333334
MIA-SMF,12,0.0,12.0,5.0,174.0,0.0,0.4166666666666667,14.5
MIA-STL,777,1.0,774.0,232.0,18471.0,0.001287001287001287,0.2997416020671835,23.864341085271317
MIA-STT,821,0.0,816.0,119.0,8000.0,0.0,0.14583333333333334,9.803921568627452
MIA-STX,598,0.0,596.0,124.0,8006.0,0.0,0.2080536912751678,13.43288590604027
MIA-SYR,21,0.0,21.0,5.0,199.0,0.0,0.23809523809523808,9.476190476190476
MIA-TLH,1049,15.0,1034.0,218.0,12094.0,0.014299332697807437,0.21083172147001933,11.696324951644101
MIA-TPA,2123,27.0,2093.0,550.0,51357.0,0.012717852096090438,0.26278069756330624,24.53750597228858
MIA-TUL,52,0.0,51.0,13.0,754.0,0.0,0.2549019607843137,14.784313725490197
MIA-TYS,338,1.0,336.0,85.0,4437.0,0.0029585798816568047,0.25297619047619047,13.205357142857142
MIA-XNA,142,2.0,138.0,36.0,1904.0,0.014084507042253521,0.2608695652173913,13.797101449275363
MKE-ATL,2399,27.0,2367.0,288.0,20320.0,0.011254689453939141,0.12167300380228137,8.584706379383185
MKE-BNA,773,8.0,764.0,108.0,5746.0,0.01034928848641656,0.14136125654450263,7.520942408376963
MKE-BOS,958,22.0,933.0,205.0,20388.0,0.022964509394572025,0.21972132904608788,21.85209003215434
MKE-BWI,857,9.0,847.0,104.0,7348.0,0.010501750291715286,0.12278630460448642,8.675324675324676
MKE-CLT,1008,11.0,995.0,197.0,18800.0,0.010912698412698412,0.19798994974874373,18.894472361809044
MKE-DAL,379,8.0,368.0,61.0,2952.0,0.021108179419525065,0.16576086956521738,8.021739130434783
MKE-DCA,830,7.0,822.0,170.0,11235.0,0.008433734939759036,0.20681265206812652,13.667883211678832
MKE-DEN,2665,33.0,2623.0,459.0,34718.0,0.012382739212007506,0.1749904689287076,13.235989325200153
MKE-DFW,1019,18.0,995.0,262.0,29694.0,0.017664376840039256,0.2633165829145729,29.84321608040201
MKE-DTW,1434,12.0,1421.0,194.0,16876.0,0.008368200836820083,0.13652357494722026,11.876143560872626
MKE-EWR,907,43.0,862.0,143.0,11694.0,0.047409040793825796,0.16589327146171692,13.566125290023201
MKE-FLL,68,0.0,67.0,19.0,1229.0,0.0,0.2835820895522388,18.34328358208955
MKE-GEG,1,0.0,1.0,1.0,19.0,0.0,1.0,19.0
MKE-IAH,573,14.0,558.0,122.0,10027.0,0.02443280977312391,0.21863799283154123,17.969534050179213
MKE-JFK,728,10.0,716.0,134.0,9589.0,0.013736263736263736,0.1871508379888268,13.39245810055866
MKE-LAS,1283,17.0,1265.0,246.0,17646.0,0.013250194855806703,0.19446640316205532,13.949407114624506
MKE-LGA,1271,41.0,1228.0,187.0,20669.0,0.03225806451612903,0.15228013029315962,16.8314332247557
MKE-MCI,210,0.0,210.0,17.0,1087.0,0.0,0.08095238095238096,5.1761904761904765
MKE-MCO,1669,28.0,1633.0,330.0,27382.0,0.016776512881965248,0.20208205756276792,16.76791181873852
MKE-MIA,17,0.0,17.0,5.0,176.0,0.0,0.29411764705882354,10.352941176470589
MKE-MSP,1506,21.0,1483.0,152.0,15304.0,0.013944223107569721,0.10249494268374916,10.31962238705327
MKE-ORD,1851,32.0,1819.0,349.0,26596.0,0.01728795245813074,0.1918636613523914,14.621220450797141
MKE-PHL,399,13.0,385.0,58.0,5574.0,0.03258145363408521,0.15064935064935064,14.477922077922077
MKE-PHX,1194,9.0,1183.0,203.0,20444.0,0.007537688442211055,0.17159763313609466,17.281487743026204
MKE-RSW,404,7.0,397.0,96.0,6511.0,0.017326732673267328,0.24181360201511334,16.40050377833753
MKE-SEA,385,1.0,383.0,39.0,2276.0,0.0025974025974025974,0.10182767624020887,5.942558746736292
MKE-SLC,183,2.0,181.0,18.0,1643.0,0.01092896174863388,0.09944751381215469,9.077348066298342
MKE-SRQ,28,0.0,28.0,3.0,259.0,0.0,0.10714285714285714,9.25
MKE-STL,709,7.0,702.0,117.0,6498.0,0.009873060648801129,0.16666666666666666,9.256410256410257
MKE-TPA,458,7.0,449.0,81.0,4696.0,0.015283842794759825,0.18040089086859687,10.45879732739421
MLB-ABE,13,0.0,13.0,0.0,5.0,0.0,0.0,0.38461538461538464
MLB-ATL,1415,8.0,1405.0,154.0,12982.0,0.005653710247349823,0.10960854092526691,9.239857651245552
MLB-BNA,65,0.0,65.0,16.0,1090.0,0.0,0.24615384615384617,16.76923076923077
MLB-CLT,1085,14.0,1069.0,167.0,17439.0,0.012903225806451613,0.15622076707202995,16.313376987839103
MLB-DCA,14,1.0,13.0,3.0,125.0,0.07142857142857142,0.23076923076923078,9.615384615384615
MLB-PIT,105,1.0,104.0,14.0,852.0,0.009523809523809525,0.1346153846153846,8.192307692307692
MLI-ATL,729,2.0,725.0,104.0,10935.0,0.0027434842249657062,0.14344827586206896,15.082758620689654
MLI-AZA,65,1.0,64.0,5.0,387.0,0.015384615384615385,0.078125,6.046875
MLI-CLT,21,0.0,21.0,3.0,842.0,0.0,0.14285714285714285,40.095238095238095
MLI-DEN,364,6.0,357.0,66.0,6278.0,0.016483516483516484,0.18487394957983194,17.58543417366947
MLI-DFW,677,11.0,665.0,81.0,5536.0,0.01624815361890694,0.12180451127819548,8.324812030075188
MLI-LAS,104,0.0,104.0,23.0,2338.0,0.0,0.22115384615384615,22.48076923076923
MLI-ORD,1023,18.0,1003.0,128.0,16103.0,0.017595307917888565,0.12761714855433698,16.05483549351944
MLI-PGD,84,0.0,83.0,19.0,2453.0,0.0,0.2289156626506024,29.55421686746988
MLI-PIE,82,0.0,82.0,15.0,1316.0,0.0,0.18292682926829268,16.048780487804876
MLI-SFB,90,0.0,90.0,15.0,1216.0,0.0,0.16666666666666666,13.511111111111111
MLU-ATL,752,2.0,749.0,85.0,8227.0,0.0026595744680851063,0.11348464619492657,10.983978638184245
MLU-DFW,1061,26.0,1035.0,141.0,13550.0,0.024505183788878417,0.13623188405797101,13.091787439613526
MOB-ATL,1398,10.0,1387.0,158.0,15354.0,0.00715307582260372,0.11391492429704397,11.069935111751983
MOB-CLT,1,0.0,1.0,0.0,14.0,0.0,0.0,14.0
MOB-DFW,1013,13.0,996.0,152.0,11084.0,0.012833168805528134,0.15261044176706828,11.1285140562249
MOB-IAH,145,0.0,144.0,29.0,2160.0,0.0,0.2013888888888889,15.0
MOT-AZA,80,1.0,79.0,14.0,819.0,0.0125,0.17721518987341772,10.367088607594937
MOT-BIS,1,0.0,0.0,0.0,0.0,0.0,,
MOT-DEN,485,14.0,463.0,83.0,10297.0,0.0288659793814433,0.17926565874730022,22.23974082073434
MOT-LAS,110,1.0,109.0,37.0,2277.0,0.00909090909090909,0.3394495412844037,20.889908256880734
MOT-MSP,1340,14.0,1324.0,182.0,16811.0,0.010447761194029851,0.13746223564954682,12.69712990936556
MOT-SFB,11,0.0,11.0,2.0,100.0,0.0,0.18181818181818182,9.090909090909092
MQT-DTW,365,9.0,356.0,51.0,4171.0,0.024657534246575342,0.14325842696629212,11.71629213483146
MQT-ORD,247,12.0,235.0,38.0,3777.0,0.048582995951417005,0.16170212765957448,16.072340425531916
MRY-DEN,366,7.0,355.0,67.0,6476.0,0.01912568306010929,0.18873239436619718,18.24225352112676
MRY-DFW,670,9.0,660.0,137.0,20656.0,0.013432835820895522,0.20757575757575758,31.296969696969697
MRY-LAS,105,0.0,105.0,66.0,6337.0,0.0,0.6285714285714286,60.352380952380955
MRY-LAX,634,6.0,628.0,63.0,5718.0,0.00946372239747634,0.10031847133757962,9.105095541401274
MRY-PHX,1043,1.0,1042.0,133.0,11425.0,0.0009587727708533077,0.1276391554702495,10.964491362763916
MRY-SAN,283,1.0,282.0,45.0,3104.0,0.0035335689045936395,0.1595744680851064,11.00709219858156
MRY-SEA,259,2.0,256.0,40.0,2488.0,0.007722007722007722,0.15625,9.71875
MRY-SFO,602,12.0,590.0,85.0,9501.0,0.019933554817275746,0.1440677966101695,16.103389830508476
MSN-ATL,1033,4.0,1027.0,94.0,9960.0,0.003872216844143272,0.09152872444011685,9.698149951314509
MSN-AUS,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MSN-BOS,4,0.0,4.0,2.0,93.0,0.0,0.5,23.25
MSN-CLT,854,5.0,847.0,190.0,22931.0,0.00585480093676815,0.2243211334120425,27.073199527744983
MSN-CMH,2,0.0,2.0,1.0,35.0,0.0,0.5,17.5
MSN-DCA,618,10.0,606.0,76.0,7797.0,0.016181229773462782,0.1254125412541254,12.866336633663366
MSN-DEN,1064,20.0,1040.0,182.0,17037.0,0.018796992481203006,0.175,16.38173076923077
MSN-DFW,1050,13.0,1032.0,215.0,24988.0,0.012380952380952381,0.20833333333333334,24.213178294573645
MSN-DTW,1350,7.0,1343.0,126.0,14525.0,0.005185185185185185,0.09381980640357408,10.815338793745346
MSN-EWR,400,15.0,384.0,64.0,6176.0,0.0375,0.16666666666666666,16.083333333333332
MSN-IAD,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MSN-IAH,2,0.0,2.0,2.0,102.0,0.0,1.0,51.0
MSN-LAX,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MSN-LGA,448,9.0,436.0,36.0,2836.0,0.020089285714285716,0.08256880733944955,6.504587155963303
MSN-MCO,57,1.0,56.0,21.0,2886.0,0.017543859649122806,0.375,51.535714285714285
MSN-MIA,21,0.0,21.0,1.0,124.0,0.0,0.047619047619047616,5.904761904761905
MSN-MSP,1350,12.0,1337.0,122.0,10650.0,0.008888888888888889,0.0912490650710546,7.965594614809275
MSN-ORD,1775,39.0,1736.0,319.0,30316.0,0.021971830985915493,0.1837557603686636,17.463133640552996
MSN-PHL,103,3.0,100.0,15.0,982.0,0.02912621359223301,0.15,9.82
MSN-PHX,367,0.0,367.0,109.0,13638.0,0.0,0.2970027247956403,37.16076294277929
MSN-SFO,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MSN-SLC,2,0.0,2.0,0.0,1.0,0.0,0.0,0.5
MSO-AZA,120,0.0,120.0,29.0,2296.0,0.0,0.24166666666666667,19.133333333333333
MSO-DEN,1085,11.0,1067.0,274.0,28508.0,0.010138248847926268,0.25679475164011245,26.717900656044986
MSO-DFW,404,1.0,402.0,66.0,5716.0,0.0024752475247524753,0.16417910447761194,14.218905472636816
MSO-LAS,109,0.0,109.0,38.0,2917.0,0.0,0.3486238532110092,26.761467889908257
MSO-LAX,150,0.0,150.0,15.0,859.0,0.0,0.1,5.726666666666667
MSO-MSP,470,4.0,466.0,96.0,10136.0,0.00851063829787234,0.20600858369098712,21.751072961373392
MSO-OAK,24,0.0,24.0,7.0,489.0,0.0,0.2916666666666667,20.375
MSO-ORD,192,1.0,190.0,40.0,3827.0,0.005208333333333333,0.21052631578947367,20.142105263157895
MSO-SAN,7,0.0,7.0,0.0,17.0,0.0,0.0,2.4285714285714284
MSO-SEA,59,1.0,58.0,17.0,926.0,0.01694915254237288,0.29310344827586204,15.96551724137931
MSO-SFO,104,0.0,104.0,5.0,514.0,0.0,0.04807692307692308,4.9423076923076925
MSO-SLC,1053,2.0,1051.0,100.0,11134.0,0.001899335232668566,0.09514747859181731,10.59372026641294
MSO-SNA,53,2.0,51.0,25.0,1671.0,0.03773584905660377,0.49019607843137253,32.76470588235294
MSP-ABQ,207,3.0,204.0,30.0,1664.0,0.014492753623188406,0.14705882352941177,8.156862745098039
MSP-ABR,725,13.0,708.0,61.0,6033.0,0.01793103448275862,0.08615819209039548,8.521186440677965
MSP-ANC,611,4.0,607.0,95.0,5573.0,0.006546644844517185,0.15650741350906094,9.181219110378912
MSP-ATL,3796,30.0,3757.0,517.0,37156.0,0.007903055848261328,0.13760979504924142,9.88980569603407
MSP-ATW,827,7.0,819.0,94.0,7480.0,0.008464328899637243,0.11477411477411477,9.133089133089133
MSP-AUS,1485,17.0,1465.0,241.0,16183.0,0.011447811447811448,0.1645051194539249,11.04641638225256
MSP-AVL,203,1.0,202.0,65.0,4835.0,0.0049261083743842365,0.3217821782178218,23.935643564356436
MSP-AZA,66,0.0,66.0,10.0,512.0,0.0,0.15151515151515152,7.757575757575758
MSP-BDL,861,5.0,855.0,143.0,11519.0,0.005807200929152149,0.1672514619883041,13.472514619883041
MSP-BIL,420,7.0,412.0,75.0,5177.0,0.016666666666666666,0.1820388349514563,12.565533980582524
MSP-BIS,1415,18.0,1396.0,169.0,14556.0,0.012720848056537103,0.12106017191977077,10.426934097421203
MSP-BJI,712,14.0,697.0,90.0,7179.0,0.019662921348314606,0.1291248206599713,10.299856527977045
MSP-BNA,1630,19.0,1608.0,271.0,17017.0,0.011656441717791411,0.1685323383084577,10.582711442786069
MSP-BOI,818,11.0,807.0,138.0,8482.0,0.013447432762836185,0.17100371747211895,10.510532837670384
MSP-BOS,2303,21.0,2276.0,500.0,37242.0,0.00911854103343465,0.21968365553602812,16.36291739894552
MSP-BRD,622,11.0,608.0,77.0,4968.0,0.017684887459807074,0.12664473684210525,8.171052631578947
MSP-BTV,66,0.0,66.0,4.0,178.0,0.0,0.06060606060606061,2.696969696969697
MSP-BUF,185,1.0,182.0,54.0,2996.0,0.005405405405405406,0.2967032967032967,16.46153846153846
MSP-BWI,1389,13.0,1373.0,208.0,12874.0,0.009359251259899209,0.15149308084486526,9.376547705753824
MSP-BZN,819,9.0,807.0,124.0,10100.0,0.01098901098901099,0.1536555142503098,12.515489467162329
MSP-CHS,147,1.0,145.0,21.0,948.0,0.006802721088435374,0.14482758620689656,6.537931034482758
MSP-CID,730,11.0,719.0,68.0,5937.0,0.015068493150684932,0.09457579972183588,8.25730180806676
